INFO     - 2018-10-05 23:47:05,033 [Dept_Locations.py][insert_data]  INSERT INTO DEPT_LOCATIONS (Dnumber, Dlocation) VALUES (%s, %s) (1, 'Houston')
INFO     - 2018-10-05 23:47:05,100 [Dept_Locations.py][insert_data]  INSERT INTO DEPT_LOCATIONS (Dnumber, Dlocation) VALUES (%s, %s) (4, 'Stafford')
INFO     - 2018-10-05 23:47:05,167 [Dept_Locations.py][insert_data]  INSERT INTO DEPT_LOCATIONS (Dnumber, Dlocation) VALUES (%s, %s) (5, 'Bellaire')
INFO     - 2018-10-05 23:47:05,201 [Dept_Locations.py][insert_data]  INSERT INTO DEPT_LOCATIONS (Dnumber, Dlocation) VALUES (%s, %s) (5, 'Sugarland')
INFO     - 2018-10-05 23:47:05,235 [Dept_Locations.py][insert_data]  INSERT INTO DEPT_LOCATIONS (Dnumber, Dlocation) VALUES (%s, %s) (5, 'Houston')
INFO     - 2018-10-05 23:47:05,279 [Dept_Locations.py][insert_data]  INSERT INTO DEPT_LOCATIONS (Dnumber, Dlocation) VALUES (%s, %s) (6, 'Atlanta')
INFO     - 2018-10-05 23:47:05,312 [Dept_Locations.py][insert_data]  INSERT INTO DEPT_LOCATIONS (Dnumber, Dlocation) VALUES (%s, %s) (6, 'Sacramento')
INFO     - 2018-10-05 23:47:05,347 [Dept_Locations.py][insert_data]  INSERT INTO DEPT_LOCATIONS (Dnumber, Dlocation) VALUES (%s, %s) (7, 'Milwaukee')
INFO     - 2018-10-05 23:47:05,391 [Dept_Locations.py][insert_data]  INSERT INTO DEPT_LOCATIONS (Dnumber, Dlocation) VALUES (%s, %s) (8, 'Chicago')
INFO     - 2018-10-05 23:47:05,436 [Dept_Locations.py][insert_data]  INSERT INTO DEPT_LOCATIONS (Dnumber, Dlocation) VALUES (%s, %s) (8, 'Dallas')
INFO     - 2018-10-05 23:47:05,481 [Dept_Locations.py][insert_data]  INSERT INTO DEPT_LOCATIONS (Dnumber, Dlocation) VALUES (%s, %s) (8, 'Philadephia')
INFO     - 2018-10-05 23:47:05,525 [Dept_Locations.py][insert_data]  INSERT INTO DEPT_LOCATIONS (Dnumber, Dlocation) VALUES (%s, %s) (8, 'Seattle')
INFO     - 2018-10-05 23:47:05,558 [Dept_Locations.py][insert_data]  INSERT INTO DEPT_LOCATIONS (Dnumber, Dlocation) VALUES (%s, %s) (8, 'Miami')
INFO     - 2018-10-05 23:47:05,593 [Dept_Locations.py][insert_data]  INSERT INTO DEPT_LOCATIONS (Dnumber, Dlocation) VALUES (%s, %s) (9, 'Arlington')
INFO     - 2018-10-05 23:47:05,637 [Dept_Locations.py][insert_data]  INSERT INTO DEPT_LOCATIONS (Dnumber, Dlocation) VALUES (%s, %s) (11, 'Austin')
